feature,importance,method,target,target_column,model_name
future_temp_day1_avg,0.12055295515431202,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm10_rolling_mean_24h,0.10890710577977498,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_temp_day3_avg,0.09674967335594854,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_lag_6h,0.0749898251372158,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
us_aqi,0.07175856843478902,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
surface_pressure,0.06356132681916922,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_pressure_day2_avg,0.06173754883579873,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_pressure_day3_avg,0.06031583350081605,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm25_rolling_mean_24h,0.04768005789008836,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_pressure_day1_avg,0.044156112443154635,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_rolling_mean_24h,0.03939574482032199,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_temp_day2_avg,0.0390476634924397,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_lag_3h,0.03435251047415769,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
latitude,0.021768100192550162,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_lag_24h,0.02107250848996879,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_direction_day3_avg,0.016815096402757915,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_lag_1h,0.013706125721524107,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_rolling_mean_12h,0.011673901786359665,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day3_avg,0.007197098558580122,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day1_max,0.006264536256804072,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_rolling_mean_6h,0.006005119691220879,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pressure_rolling_mean_24h,0.004696696682761357,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_humidity_day2_avg,0.004214714207073669,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
wind_speed_rolling_mean_24h,0.003895108743728352,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_direction_day1_avg,0.003841986608703132,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day3_max,0.003570993724085654,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_lag_12h,0.002740806413571785,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_humidity_day1_avg,0.0021992210903899073,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm2_5,0.0017005262508188812,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day1_avg,0.0010787102753917466,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_rolling_mean_3h,0.0010571661733119937,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day2_avg,0.0008459929908633645,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_direction_day2_avg,0.0005500167356932229,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm10,0.0004583783939624171,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
dust,0.00025193501028829485,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_humidity_day3_avg,0.00020433187651811897,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
sulphur_dioxide,0.00018362154205306587,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_wind_day2_max,0.00014911502001194242,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_change_rate_24h,0.00010088712754571509,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm25_lag_24h,8.509761915211928e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
wind_speed_10m,7.428710409793352e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_change_rate_3h,6.905725728155663e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
hour,6.636491629521053e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
ozone,4.735524032046108e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
aqi_change_rate_1h,4.316266009091527e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
pm10_lag_24h,4.077701003450591e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
ozone_rolling_mean_24h,2.7826695232585986e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
wind_direction_10m,2.4036306201085136e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
nitrogen_dioxide,2.2832431432872278e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
carbon_monoxide,1.949107928729446e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
relative_humidity_2m,1.654726839207187e-05,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
dayofweek,9.649307258829586e-06,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
temperature_2m,5.653348850034473e-06,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
day,2.3965154740825533e-07,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
longitude,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
month,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
precipitation,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_precip_day1_sum,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_precip_day2_sum,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_precip_day3_sum,0.0,model_feature_importance,day_1,target_aqi_day1_avg,gradient_boosting
future_temp_day1_avg,9.963331012852084,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
latitude,7.873038624632517,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_direction_day3_avg,4.829893104875995,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_pressure_day3_avg,4.538577842000575,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_temp_day2_avg,3.3846959731587547,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_humidity_day2_avg,2.5224507819232262,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pressure_rolling_mean_24h,1.4999092059147197,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_rolling_mean_24h,1.434511462793166,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_temp_day3_avg,1.2958419513865838,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
wind_speed_rolling_mean_24h,0.856463716732225,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_humidity_day3_avg,0.77654752668915,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm25_rolling_mean_24h,0.7000295699094273,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm10_rolling_mean_24h,0.6497644637755539,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_humidity_day1_avg,0.6007305451786976,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day1_max,0.5693828459225999,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_rolling_mean_12h,0.5115588585391958,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_change_rate_24h,0.4952119145787295,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_direction_day2_avg,0.44568386061606063,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day1_avg,0.34979714644385496,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day2_avg,0.32580122441150355,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day2_max,0.2495724917397073,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
surface_pressure,0.21697273521674543,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_lag_24h,0.20245994216250343,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_pressure_day2_avg,0.1855437739956868,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm2_5,0.18113858180273232,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
ozone_rolling_mean_24h,0.16090084649452793,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_pressure_day1_avg,0.15514859907655362,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day3_max,0.11788734393841811,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_lag_12h,0.10615837888459989,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
dust,0.10399158660136483,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
sulphur_dioxide,0.10016849521306437,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_change_rate_1h,0.09333094621360043,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_lag_3h,0.08608121354361013,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
us_aqi,0.07792171868978848,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
relative_humidity_2m,0.05803474367561249,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_change_rate_3h,0.05798660625867905,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_day3_avg,0.052835962407982016,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_lag_6h,0.05165665309127121,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm25_lag_24h,0.05148218709940178,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
wind_direction_10m,0.04700101061077729,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_wind_direction_day1_avg,0.044468917203394596,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm10,0.04131844554623291,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
hour,0.04053943227593759,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_lag_1h,0.040023952562403466,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
pm10_lag_24h,0.03132020726541995,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
carbon_monoxide,0.030483392391738622,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_rolling_mean_6h,0.029346366952154607,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
aqi_rolling_mean_3h,0.02651968201989578,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
longitude,0.024667038167147364,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
wind_speed_10m,0.02339528357596136,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
nitrogen_dioxide,0.020927013972541413,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
ozone,0.01687560879694831,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
temperature_2m,0.014833885398798744,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
day,0.008817946336000896,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
month,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
dayofweek,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
precipitation,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_precip_day1_sum,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_precip_day2_sum,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_precip_day3_sum,0.0,permutation_importance,day_2,target_aqi_day2_avg,hist_gradient_boosting
future_pressure_day3_avg,0.11256101528077321,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pressure_rolling_mean_24h,0.09689152828179258,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_pressure_day2_avg,0.09664932741638177,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_humidity_day2_avg,0.09330667515524427,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_pressure_day1_avg,0.09056563707613496,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_temp_day2_avg,0.08355740058328309,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
surface_pressure,0.07078812103669335,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_temp_day1_avg,0.04881226925190184,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_humidity_day1_avg,0.039617566019651336,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_rolling_mean_24h,0.03718968184938135,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
pm10_rolling_mean_24h,0.028149195217842087,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
dayofweek,0.02452370489635289,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
latitude,0.02449423254437927,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_humidity_day3_avg,0.018932498677127894,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_day2_max,0.01723216131675957,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_rolling_mean_12h,0.01461531906707965,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_rolling_mean_6h,0.010865666141765632,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_direction_day3_avg,0.007861272284801756,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
longitude,0.0073834689305261,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_lag_3h,0.007269006491630547,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_lag_24h,0.006628863234624994,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_direction_day1_avg,0.0066213461846892675,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
day,0.004922417038158358,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_temp_day3_avg,0.004880278090272238,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_day3_max,0.0047231305558242094,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_direction_day2_avg,0.004169309455967794,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_lag_12h,0.004151950672313095,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
us_aqi,0.004128983201672692,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
ozone_rolling_mean_24h,0.003829489209877152,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
aqi_lag_1h,0.003806313598641862,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
month,0.00322980827004403,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
future_wind_day1_max,0.003147670710213018,model_feature_importance,day_3,target_aqi_day3_avg,extra_trees
